date,home_team,score,away_team
21-10-2023,Torino,0 - 3,Inter
29-10-2023,Inter,1 - 0,Roma
04-11-2023,Atalanta,1 - 2,Inter
12-11-2023,Inter,2 - 0,Frosinone
26-11-2023,Juventus,1 - 1,Inter
03-12-2023,Napoli,0 - 3,Inter
09-12-2023,Inter,4 - 0,Udinese
17-12-2023,Lazio,0 - 2,Inter
23-12-2023,Inter,2 - 0,Lecce
29-12-2023,Genoa,1 - 1,Inter
20-08-2023,Udinese,0 - 3,Juventus
27-08-2023,Juventus,1 - 1,Bologna
03-09-2023,Empoli,0 - 2,Juventus
16-09-2023,Juventus,3 - 1,Lazio
23-09-2023,Sassuolo,4 - 2,Juventus
26-09-2023,Juventus,1 - 0,Lecce
01-10-2023,Atalanta,0 - 0,Juventus
07-10-2023,Juventus,2 - 0,Torino
22-10-2023,Milan,0 - 1,Juventus
28-10-2023,Juventus,1 - 0,Verona
05-11-2023,Fiorentina,0 - 1,Juventus
11-11-2023,Juventus,2 - 1,Cagliari
26-11-2023,Juventus,1 - 1,Inter
01-12-2023,Monza,1 - 2,Juventus
08-12-2023,Juventus,1 - 0,Napoli
15-12-2023,Genoa,1 - 1,Juventus
23-12-2023,Frosinone,1 - 2,Juventus
30-12-2023,Juventus,? - ?,Roma
20-08-2023,Lecce,2 - 1,Lazio
27-08-2023,Lazio,0 - 1,Genoa
02-09-2023,Napoli,1 - 2,Lazio
16-09-2023,Juventus,3 - 1,Lazio
23-09-2023,Lazio,1 - 1,Monza
27-09-2023,Lazio,2 - 0,Torino
30-09-2023,Milan,2 - 0,Lazio
08-10-2023,Lazio,3 - 2,Atalanta
21-10-2023,Sassuolo,0 - 2,Lazio
30-10-2023,Lazio,1 - 0,Fiorentina
03-11-2023,Bologna,1 - 0,Lazio
12-11-2023,Lazio,0 - 0,Roma
25-11-2023,Salernitana,2 - 1,Lazio
02-12-2023,Lazio,1 - 0,Cagliari
09-12-2023,Verona,1 - 1,Lazio
17-12-2023,Lazio,0 - 2,Inter
22-12-2023,Empoli,0 - 2,Lazio
29-12-2023,Lazio,3 - 1,Frosinone
20-08-2023,Lecce,2 - 1,Lazio
27-08-2023,Fiorentina,2 - 2,Lecce
03-09-2023,Lecce,2 - 0,Salernitana
17-09-2023,Monza,1 - 1,Lecce
22-09-2023,Lecce,1 - 0,Genoa
26-09-2023,Juventus,1 - 0,Lecce
30-09-2023,Lecce,0 - 4,Napoli
06-10-2023,Lecce,1 - 1,Sassuolo
23-10-2023,Udinese,1 - 1,Lecce
28-10-2023,Lecce,0 - 1,Torino
